CODIGO MUNICIPIO;LATITUDE;LONGITUDE;;;;;CÓDIGO MUNICÍPIO;UF;NOME MUNICIPIO;LAT;LONG
110001;-11.92;-61.99;;;;;110001;RO;Alta Floresta d`Oeste;-11.92;-61.99
110002;-9.91;-63.04;;;;;110002;RO;Ariquemes;-9.91;-63.04
110003;-13.49;-60.54;;;;;110003;RO;Cabixi;-13.49;-60.54
110004;-11.43;-61.44;;;;;110004;RO;Cacoal;-11.43;-61.44
110005;-13.18;-60.81;;;;;110005;RO;Cerejeiras;-13.18;-60.81
110006;-13.11;-60.54;;;;;110006;RO;Colorado do Oeste;-13.11;-60.54
110007;-12.96;-60.88;;;;;110007;RO;Corumbiara;-12.96;-60.88
110008;-12.44;-64.22;;;;;110008;RO;Costa Marques;-12.44;-64.22
110009;-11.52;-61.01;;;;;110009;RO;Espigão d`Oeste;-11.52;-61.01
110010;-10.78;-65.33;;;;;110010;RO;Guajará-Mirim;-10.78;-65.33
110011;-10.43;-62.46;;;;;110011;RO;Jaru;-10.43;-62.46
110012;-10.88;-61.94;;;;;110012;RO;Ji-Paraná;-10.88;-61.94
110013;-9.44;-61.98;;;;;110013;RO;Machadinho d`Oeste;-9.44;-61.98
110014;-11.72;-62.33;;;;;110014;RO;Nova Brasilândia d`Oeste;-11.72;-62.33
110015;-10.71;-62.24;;;;;110015;RO;Ouro Preto do Oeste;-10.71;-62.24
110018;-11.67;-61.19;;;;;110018;RO;Pimenta Bueno;-11.67;-61.19
110020;-8.76;-63.9;;;;;110020;RO;Porto Velho;-8.76;-63.9
110025;-11.17;-61.9;;;;;110025;RO;Presidente Médici;-11.17;-61.9
110026;-9.7;-62.9;;;;;110026;RO;Rio Crespo;-9.7;-62.9
110028;-11.73;-61.77;;;;;110028;RO;Rolim de Moura;-11.73;-61.77
110029;-11.9;-61.77;;;;;110029;RO;Santa Luzia d`Oeste;-11.9;-61.77
110030;-12.74;-60.14;;;;;110030;RO;Vilhena;-12.74;-60.14
110032;-11.68;-62.68;;;;;110032;RO;São Miguel do Guaporé;-11.68;-62.68
110033;-10.41;-65.33;;;;;110033;RO;Nova Mamoré;-10.41;-65.33
110034;-11.4;-62.38;;;;;110034;RO;Alvorada d`Oeste;-11.4;-62.38
110037;-12.12;-61.85;;;;;110037;RO;Alto Alegre dos Parecis;-12.12;-61.85
110040;-9.71;-63.32;;;;;110040;RO;Alto Paraíso;-9.71;-63.32
110045;-10.21;-63.82;;;;;110045;RO;Buritis;-10.21;-63.82
110050;-11.71;-62;;;;;110050;RO;Novo Horizonte do Oeste;-11.71;-62
110060;-10.34;-62.89;;;;;110060;RO;Cacaulândia;-10.34;-62.89
110070;-10.57;-63.62;;;;;110070;RO;Campo Novo de Rondônia;-10.57;-63.62
110080;-8.79;-63.7;;;;;110080;RO;Candeias do Jamari;-8.79;-63.7
110090;-11.42;-61.95;;;;;110090;RO;Castanheiras;-11.42;-61.95
110092;-12.55;-60.9;;;;;110092;RO;Chupinguaia;-12.55;-60.9
110094;-9.36;-62.58;;;;;110094;RO;Cujubim;-9.36;-62.58
110100;-10.6;-62.73;;;;;110100;RO;Governador Jorge Teixeira;-10.6;-62.73
110110;-9.2;-63.18;;;;;110110;RO;Itapuã do Oeste;-9.2;-63.18
110120;-11.19;-61.51;;;;;110120;RO;Ministro Andreazza;-11.19;-61.51
110130;-11.02;-62.67;;;;;110130;RO;Mirante da Serra;-11.02;-62.67
110140;-10.24;-63.29;;;;;110140;RO;Monte Negro;-10.24;-63.29
110143;-10.9;-62.56;;;;;110143;RO;Nova União;-10.9;-62.56
110145;-12.17;-61.6;;;;;110145;RO;Parecis;-12.17;-61.6
110146;-13.48;-61.04;;;;;110146;RO;Pimenteiras do Oeste;-13.48;-61.04
110147;-11.82;-61.32;;;;;110147;RO;Primavera de Rondônia;-11.82;-61.32
110148;-11.9;-61.5;;;;;110148;RO;São Felipe d`Oeste;-11.9;-61.5
110149;-12.06;-63.56;;;;;110149;RO;São Francisco do Guaporé;-12.06;-63.56
110150;-11.79;-63.03;;;;;110150;RO;Seringueiras;-11.79;-63.03
110155;-10.91;-62.24;;;;;110155;RO;Teixeirópolis;-10.91;-62.24
110160;-10.24;-62.35;;;;;110160;RO;Theobroma;-10.24;-62.35
110170;-11.12;-62.37;;;;;110170;RO;Urupá;-11.12;-62.37
110175;-9.86;-62.18;;;;;110175;RO;Vale do Anari;-9.86;-62.18
110180;-10.44;-62.13;;;;;110180;RO;Vale do Paraíso;-10.44;-62.13
120001;-9.82;-66.88;;;;;120001;AC;Acrelândia;-9.82;-66.88
120005;-10.94;-69.56;;;;;120005;AC;Assis Brasil;-10.94;-69.56
120010;-11.01;-68.74;;;;;120010;AC;Brasiléia;-11.01;-68.74
120013;-9.83;-67.95;;;;;120013;AC;Bujari;-9.83;-67.95
120017;-10.57;-67.67;;;;;120017;AC;Capixaba;-10.57;-67.67
120020;-7.63;-72.66;;;;;120020;AC;Cruzeiro do Sul;-7.63;-72.66
120025;-11.02;-68.74;;;;;120025;AC;Epitaciolândia;-11.02;-68.74
120030;-8.16;-70.35;;;;;120030;AC;Feijó;-8.16;-70.35
120032;-9.43;-71.88;;;;;120032;AC;Jordão;-9.43;-71.88
120033;-7.61;-72.89;;;;;120033;AC;Mâncio Lima;-7.61;-72.89
120034;-8.83;-69.26;;;;;120034;AC;Manoel Urbano;-8.83;-69.26
120035;-8.94;-72.79;;;;;120035;AC;Marechal Thaumaturgo;-8.94;-72.79
120038;-10.33;-67.18;;;;;120038;AC;Plácido de Castro;-10.33;-67.18
120039;-8.26;-72.74;;;;;120039;AC;Porto Walter;-8.26;-72.74
120040;-9.97;-67.8;;;;;120040;AC;Rio Branco;-9.97;-67.8
120042;-7.74;-72.64;;;;;120042;AC;Rodrigues Alves;-7.74;-72.64
120043;-9.43;-70.49;;;;;120043;AC;Santa Rosa do Purus;-9.43;-70.49
120045;-10.15;-67.73;;;;;120045;AC;Senador Guiomard;-10.15;-67.73
120050;-9.06;-68.65;;;;;120050;AC;Sena Madureira;-9.06;-68.65
120060;-8.16;-70.76;;;;;120060;AC;Tarauacá;-8.16;-70.76
120070;-10.65;-68.5;;;;;120070;AC;Xapuri;-10.65;-68.5
120080;-9.58;-67.53;;;;;120080;AC;Porto Acre;-9.58;-67.53
130002;-3.22;-64.8;;;;;130002;AM;Alvarães;-3.22;-64.8
130006;-3.36;-68.19;;;;;130006;AM;Amaturá;-3.36;-68.19
130008;-3.57;-61.4;;;;;130008;AM;Anamã;-3.57;-61.4
130010;-3.77;-61.64;;;;;130010;AM;Anori;-3.77;-61.64
130014;-7.19;-59.89;;;;;130014;AM;Apuí;-7.19;-59.89
130020;-4.37;-70.19;;;;;130020;AM;Atalaia do Norte;-4.37;-70.19
130030;-3.57;-59.13;;;;;130030;AM;Autazes;-3.57;-59.13
130040;-0.97;-62.92;;;;;130040;AM;Barcelos;-0.97;-62.92
130050;-2.79;-57.06;;;;;130050;AM;Barreirinha;-2.79;-57.06
130060;-4.38;-70.03;;;;;130060;AM;Benjamin Constant;-4.38;-70.03
130063;-3.89;-61.37;;;;;130063;AM;Beruri;-3.89;-61.37
130068;-2.97;-57.59;;;;;130068;AM;Boa Vista do Ramos;-2.97;-57.59
130070;-8.75;-67.39;;;;;130070;AM;Boca do Acre;-8.75;-67.39
130080;-4.38;-59.59;;;;;130080;AM;Borba;-4.38;-59.59
130083;-3.32;-61.2;;;;;130083;AM;Caapiranga;-3.32;-61.2
130090;-6.53;-64.38;;;;;130090;AM;Canutama;-6.53;-64.38
130100;-4.88;-66.89;;;;;130100;AM;Carauari;-4.88;-66.89
130110;-3.76;-60.36;;;;;130110;AM;Careiro;-3.76;-60.36
130115;-3.22;-59.82;;;;;130115;AM;Careiro da Várzea;-3.22;-59.82
130120;-4.08;-63.14;;;;;130120;AM;Coari;-4.08;-63.14
130130;-3.83;-62.05;;;;;130130;AM;Codajás;-3.83;-62.05
130140;-6.65;-69.87;;;;;130140;AM;Eirunepé;-6.65;-69.87
130150;-7.43;-70.02;;;;;130150;AM;Envira;-7.43;-70.02
130160;-2.51;-66.09;;;;;130160;AM;Fonte Boa;-2.51;-66.09
130165;-7.54;-72.58;;;;;130165;AM;Guajará;-7.54;-72.58
130170;-7.5;-63.02;;;;;130170;AM;Humaitá;-7.5;-63.02
130180;-7.05;-71.69;;;;;130180;AM;Ipixuna;-7.05;-71.69
130185;-3.28;-60.18;;;;;130185;AM;Iranduba;-3.28;-60.18
130190;-3.14;-58.44;;;;;130190;AM;Itacoatiara;-3.14;-58.44
130195;-6.42;-68.25;;;;;130195;AM;Itamarati;-6.42;-68.25
130200;-2.74;-58.02;;;;;130200;AM;Itapiranga;-2.74;-58.02
130210;-1.82;-66.59;;;;;130210;AM;Japurá;-1.82;-66.59
130220;-3.48;-66.06;;;;;130220;AM;Juruá;-3.48;-66.06
130230;-2.74;-66.76;;;;;130230;AM;Jutaí;-2.74;-66.76
130240;-7.25;-64.79;;;;;130240;AM;Lábrea;-7.25;-64.79
130250;-3.29;-60.62;;;;;130250;AM;Manacapuru;-3.29;-60.62
130255;-3.42;-60.45;;;;;130255;AM;Manaquiri;-3.42;-60.45
130260;-3.1;-60.02;;;;;130260;AM;Manaus;-3.1;-60.02
130270;-5.8;-61.29;;;;;130270;AM;Manicoré;-5.8;-61.29
130280;-1.85;-65.58;;;;;130280;AM;Maraã;-1.85;-65.58
130290;-3.38;-57.71;;;;;130290;AM;Maués;-3.38;-57.71
130300;-2.18;-56.71;;;;;130300;AM;Nhamundá;-2.18;-56.71
130310;-3.88;-59.09;;;;;130310;AM;Nova Olinda do Norte;-3.88;-59.09
